title,employment_type,required_experience,industry,function,has_company_logo,Actual,Predicted,Result
General Application,unknown,unknown,unknown,unknown,1,0,0,Correct
Sales Director,Full-time,Director,Information Technology and Services,Sales,1,0,0,Correct
Account Executive,Full-time,Not Applicable,Public Relations and Communications,Public Relations,0,0,0,Correct
Outside Sales Rep - Sales Manager,Full-time,Mid-Senior level,Warehousing,Sales,1,0,0,Correct
Freelance Translators (m/f) from Swedish and German into English,Other,unknown,E-Learning,Writing/Editing,1,0,0,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
Sr. Account Executive,Full-time,Associate,Marketing and Advertising,Sales,1,0,0,Correct
Barista Supremo (Part-time),Part-time,Not Applicable,Information Technology and Services,Other,1,0,0,Correct
Digital Marketing Manager,Full-time,Mid-Senior level,Information Technology and Services,Project Management,0,0,0,Correct
Senior Accountant - Manager,Full-time,Mid-Senior level,Accounting,Accounting/Auditing,1,0,0,Correct
Pedestrian Crane operator,unknown,unknown,unknown,unknown,0,0,0,Correct
Junior WebDeveloper [Intern],Full-time,Internship,unknown,Engineering,1,0,0,Correct
Tibco Architect,unknown,unknown,unknown,unknown,1,0,0,Correct
Director of Digital Analytics and Strategy (Contract),Contract,Director,Marketing and Advertising,Data Analyst,1,0,0,Correct
North West Level 2 and 3 DGV NVQ Assessors Under ,Full-time,Associate,Logistics and Supply Chain,Training,1,0,0,Correct
Regional Sales Manager,Full-time,unknown,Marketing and Advertising,unknown,0,0,0,Correct
Salesforce Project Lead,Full-time,Mid-Senior level,Information Technology and Services,Other,0,0,0,Correct
Cleaning Technician,Full-time,Not Applicable,unknown,unknown,1,0,0,Correct
Java Developer,Full-time,Internship,Accounting,Customer Service,0,1,0,Wrong
Executive Strategist,Full-time,Entry level,Internet,Strategy/Planning,1,0,0,Correct
Customer Care Team member,Full-time,Associate,Information Technology and Services,Customer Service,1,0,0,Correct
Senior Unix/Linux Production Engineer ,Full-time,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
Home Care Schedulers,Full-time,Entry level,Hospital & Health Care,Administrative,1,0,0,Correct
"International Broadcaster, English to Africa Service",unknown,unknown,unknown,unknown,1,0,0,Correct
SF Bay Area Field Organizer,Full-time,unknown,unknown,Marketing,1,0,0,Correct
Store Manager position,Full-time,unknown,Restaurants,Business Development,1,0,0,Correct
Billing Clerk,Full-time,Entry level,Legal Services,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Senior Java Developer Job opportunity at United State-District of Columbia,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,0,0,0,Correct
PHP Developer ,unknown,unknown,unknown,unknown,1,0,0,Correct
Subsea Process System Engineer,Full-time,unknown,Oil & Energy,Engineering,1,1,1,Correct
 Star (Retail Associate) - Oakbrook Center 02,Part-time,Associate,Retail,Sales,1,0,0,Correct
Marketing Manager,Full-time,Mid-Senior level,Computer Software,Marketing,1,0,0,Correct
Weekend Caregiver for a Hip Young Man,Full-time,Entry level,Civic & Social Organization,Health Care Provider,1,0,0,Correct
Bookkeeper/Office Manager,Full-time,Associate,Nonprofit Organization Management,General Business,0,0,0,Correct
Back-End Developer,Full-time,Not Applicable,Information Technology and Services,Engineering,1,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Automotive,Customer Service,1,0,0,Correct
Administration Assistant,Full-time,Associate,Computer Software,Administrative,1,0,0,Correct
INDEPENDENT (1099) Pharmaceutical or Medical Device Sales Rep,Full-time,Mid-Senior level,Medical Devices,Sales,1,0,0,Correct
Director / Head of Operations,Full-time,Director,Information Technology and Services,General Business,1,0,0,Correct
"Producer, Indonesian Service ",unknown,unknown,unknown,unknown,1,0,0,Correct
Manufacturing Operations Supervisor,Full-time,unknown,unknown,unknown,0,0,0,Correct
Junior Web / UI Designer,Full-time,Entry level,Internet,Advertising,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
Sales - General Manager (Sydney),Full-time,Not Applicable,Media Production,Sales,1,0,0,Correct
Desktop Support Technician,Full-time,Associate,Information Technology and Services,Information Technology,1,0,0,Correct
SEM Coordinator,Full-time,unknown,unknown,unknown,1,0,0,Correct
Assistant Accountant,Full-time,unknown,Internet,Finance,1,0,0,Correct
Digital Strategist,Full-time,unknown,unknown,unknown,1,0,0,Correct
Frontend Engineer,Full-time,Associate,Internet,unknown,1,0,0,Correct
Dropoff Agent,unknown,unknown,unknown,unknown,1,0,0,Correct
Venue Representative,Part-time,Entry level,Music,unknown,1,0,0,Correct
Growth Expert,unknown,unknown,unknown,unknown,1,0,0,Correct
Account Management Intern,Full-time,Internship,unknown,Marketing,1,0,0,Correct
Customer Service Associate,Full-time,Entry level,Financial Services,Administrative,1,0,0,Correct
Finance Associate,Full-time,Associate,Accounting,Finance,1,0,0,Correct
"Food Production Manager @ PGI, a Food Production Company",Full-time,Entry level,Food & Beverages,Production,1,0,0,Correct
Sales and Enrollment Director,Full-time,Director,Insurance,Sales,1,0,0,Correct
Office & Community Coordinator,Full-time,Associate,unknown,Administrative,1,0,0,Correct
Product Specialist / Blippbuilder Brain,Full-time,Mid-Senior level,Internet,Training,1,0,0,Correct
"Reporter, Agri Investor",Full-time,Associate,Publishing,Writing/Editing,1,0,0,Correct
Caregiver/HHA/CNA- Covert/South Haven,Part-time,unknown,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Systems engineer / network administrator,Full-time,Associate,Information Technology and Services,Information Technology,1,0,0,Correct
Java Automation QA,Contract,Mid-Senior level,unknown,Information Technology,0,0,0,Correct
Public Relations Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Scrum Master,Full-time,Associate,E-Learning,Engineering,1,0,0,Correct
SEO Expert - Design Processes and Create Content,Contract,Mid-Senior level,Internet,Marketing,0,0,0,Correct
AML Officer,Full-time,Mid-Senior level,Financial Services,Finance,1,0,0,Correct
Product Designer,Full-time,unknown,Internet,Design,1,0,0,Correct
Traffic Manager (China),Full-time,Mid-Senior level,Marketing and Advertising,Sales,1,0,0,Correct
Property Preservation Work Order Updater,Full-time,Entry level,unknown,General Business,0,0,0,Correct
"UX Designer (iOS, web)",Full-time,Mid-Senior level,Design,Design,1,0,0,Correct
Head of Marketing (option CMO),unknown,unknown,unknown,unknown,1,0,0,Correct
Software Development Intern,Temporary,Internship,Information Technology and Services,Information Technology,1,0,0,Correct
SENIOR SOFTWARE ENGINEER,Full-time,Associate,Banking,Information Technology,0,0,0,Correct
Mobile Applications Developer,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
The Symicor Group is Looking for Seasoned Banking Recruiters to Join Our Firm,unknown,unknown,unknown,unknown,1,0,0,Correct
Process Engineer,Full-time,unknown,unknown,unknown,0,0,0,Correct
Telecommunications Installer II/III,unknown,unknown,unknown,unknown,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
Software Engineer - Flex,Full-time,Mid-Senior level,Information Technology and Services,Engineering,1,0,0,Correct
Customer Service Associate -Part Time,Part-time,Entry level,Consumer Services,Customer Service,1,0,0,Correct
Lean Manufacturing,Full-time,unknown,unknown,unknown,0,0,0,Correct
Sales Manager,Full-time,unknown,Management Consulting,unknown,0,0,0,Correct
Interaction Designer (UX) - New York,Full-time,Mid-Senior level,unknown,unknown,1,0,0,Correct
Project Manager,Contract,Associate,Computer Software,Consulting,1,0,0,Correct
Manager of Finance,Full-time,unknown,Accounting,unknown,0,0,0,Correct
Junior Marketer,Contract,Internship,Internet,Marketing,1,0,0,Correct
Photography Internship,unknown,unknown,unknown,unknown,1,0,0,Correct
Smart-Meter Expert,Full-time,unknown,unknown,unknown,1,0,0,Correct
"Clinic Assistant, Eye Clinic, Sudbury Primary Care Centre",Full-time,Entry level,Hospital & Health Care,Customer Service,1,0,0,Correct
Senior API Developer Syfmony2,Full-time,Not Applicable,Consumer Services,unknown,1,0,0,Correct
Pharmaceutical Sales (West End/Baptist Hospital Area),unknown,unknown,Pharmaceuticals,Sales,1,0,0,Correct
ColdFusion Developer,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
Licensed Practical Nurse (LPN)- Full Time,unknown,unknown,unknown,unknown,1,0,0,Correct
Inside Sales,Full-time,Entry level,Marketing and Advertising,Sales,1,0,0,Correct
Technical Lead,Full-time,Mid-Senior level,Financial Services,Information Technology,0,0,0,Correct
Front End Web Developer ,Full-time,Mid-Senior level,Information Technology and Services,Engineering,1,0,0,Correct
Business Analyst,unknown,unknown,unknown,unknown,0,0,0,Correct
Cruise Staff Wanted *URGENT*,Full-time,unknown,"Leisure, Travel & Tourism",unknown,0,1,1,Correct
IT Support Specialist & Build Engineer,Full-time,Mid-Senior level,Entertainment,unknown,1,0,0,Correct
Senior Sales Executive - Southern CA,Full-time,Executive,Information Technology and Services,Sales,1,0,0,Correct
"Injection Molding Supervisor - Lake Forest, IL",Full-time,Mid-Senior level,Management Consulting,Management,0,0,0,Correct
Senior Node.js Developer,Full-time,Associate,Internet,Engineering,1,0,0,Correct
Staff Accountant and Administration Position,Full-time,Associate,Information Technology and Services,Financial Analyst,1,0,0,Correct
Front End Developer,Full-time,Mid-Senior level,Computer Software,Other,0,0,0,Correct
Digital Marketing Specialist,Full-time,unknown,Electrical/Electronic Manufacturing,Marketing,1,0,0,Correct
Senior QA Engineer ,Full-time,Mid-Senior level,Marketing and Advertising,Engineering,1,1,1,Correct
Marketing and Business Development Intern,Other,Internship,Legal Services,Marketing,1,0,0,Correct
"Sales Associate, Civilian - Inside Sales",Full-time,Entry level,Information Technology and Services,Sales,0,0,0,Correct
Senior Software Engineer,Full-time,Not Applicable,Computer Software,Engineering,1,0,0,Correct
Development Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Sales ,Full-time,Associate,Marketing and Advertising,Sales,1,0,0,Correct
John's Talent Network,Full-time,unknown,unknown,unknown,1,0,0,Correct
Junior Account Manager ,Full-time,unknown,Internet,Project Management,1,0,0,Correct
Recruitment & Talent Acquisition Professional,Other,Mid-Senior level,Staffing and Recruiting,Human Resources,1,1,0,Wrong
Employment Specialist,Full-time,Associate,Civic & Social Organization,Other,1,0,0,Correct
Have a TWIC card? RAPIDGate? Apply now!!!,Contract,unknown,Environmental Services,unknown,1,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Financial Services,Administrative,1,0,0,Correct
PHP Developer,unknown,unknown,unknown,unknown,0,0,0,Correct
Database Administrator,Full-time,Mid-Senior level,Internet,Other,0,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
Copywriter - English native,Full-time,Mid-Senior level,Information Technology and Services,Writing/Editing,0,0,0,Correct
Senior Consultant / Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
EXPERIENCED CAREGIVERS NEEDED TODAY!THE BEST PAY & AWESOME BENEFITS!!,unknown,unknown,unknown,unknown,1,0,0,Correct
Business Operations Intern,Full-time,Internship,Internet,General Business,0,0,0,Correct
Web Designer,unknown,unknown,unknown,unknown,1,0,0,Correct
Media Sales Manager - In New Media Advertising (DOOH),Full-time,Mid-Senior level,Marketing and Advertising,Sales,0,0,0,Correct
Software Engineer I,Full-time,Entry level,Computer Software,Engineering,1,0,0,Correct
Senior Mechanical Design Engineer,Full-time,unknown,Oil & Energy,Engineering,1,1,1,Correct
Senior PHP Web Developer ,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Account Executive,Full-time,Entry level,Marketing and Advertising,Advertising,1,0,0,Correct
Drupal Udvikler / e-conomic,Full-time,Mid-Senior level,Information Technology and Services,Consulting,1,0,0,Correct
Psychiatric Nurse Practitioner/Physician Assistant,Full-time,unknown,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Casual/Part-Time Position,unknown,unknown,unknown,unknown,0,0,0,Correct
Senior Software Engineer ,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,0,0,0,Correct
Planner / Scheduler,Contract,Mid-Senior level,Construction,Consulting,1,0,0,Correct
DH7 Business Admin Apprenticeship Under NAS 16-24 Year Olds Only,unknown,Not Applicable,unknown,Administrative,1,0,0,Correct
Account Executive - Washington DC,Full-time,Mid-Senior level,Computer Software,Sales,1,0,0,Correct
Business Account Manager,Full-time,Entry level,Marketing and Advertising,Sales,0,0,0,Correct
Quality Assurance Engineer,Full-time,unknown,unknown,unknown,0,0,0,Correct
Android Developer,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,0,0,0,Correct
Marketing Representative Positions,Full-time,unknown,unknown,unknown,1,0,0,Correct
Player & DRM Developer,Full-time,Mid-Senior level,Entertainment,Information Technology,1,0,0,Correct
Buyer,Full-time,unknown,Marketing and Advertising,unknown,0,0,0,Correct
Sales Professional - Buiding Products,Full-time,Mid-Senior level,Construction,Sales,1,0,0,Correct
Social Media Manager,Full-time,Mid-Senior level,Internet,Marketing,1,0,0,Correct
Wireless Networks / Embedded Sensors / Software Engineer (IoT),Other,Not Applicable,Research,Information Technology,1,0,0,Correct
Recruitment Consultant,Full-time,Entry level,Staffing and Recruiting,Business Development,0,0,0,Correct
Junior Systems Administrator,Full-time,Entry level,Telecommunications,Engineering,1,0,0,Correct
Electrical Maintenance Technician - Major States,Full-time,unknown,Facilities Services,unknown,0,0,0,Correct
Sales Executive - Office Equipment ,Full-time,Associate,Business Supplies and Equipment,Sales,0,0,0,Correct
Web Developer (ASP.net/SQL/jQuery),Full-time,unknown,Internet,unknown,1,0,0,Correct
Initiativbewerbung,unknown,unknown,unknown,unknown,1,0,0,Correct
Mid-Senior Front-end Developer,Full-time,Mid-Senior level,Internet,Engineering,1,0,0,Correct
Front-End Developer,Full-time,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
Office Manager,Full-time,Associate,Financial Services,Administrative,1,0,0,Correct
3D Artist,Full-time,unknown,Computer Games,Art/Creative,1,0,0,Correct
Freelance writer/analyst for Spain,Contract,unknown,Internet,Writing/Editing,1,0,0,Correct
Sr. Design Engineer Mechanical - 3D CAD,Full-time,unknown,unknown,unknown,0,0,0,Correct
Accounts & Payroll Officer,Full-time,Not Applicable,Staffing and Recruiting,Business Development,1,0,0,Correct
***NEEDED 15-20 CUSTOMER SERVICE REPS,Full-time,Entry level,Consumer Services,unknown,1,0,0,Correct
Psychiatric Nurse from Europe (Relocation to England),unknown,unknown,unknown,unknown,1,0,0,Correct
Full-Cycle Oil & Gas Recruiter ,Full-time,Associate,Oil & Energy,Human Resources,1,0,0,Correct
Appointment Coordinator,Full-time,Entry level,Consumer Services,unknown,1,0,0,Correct
Property Preservation Field Crews,Contract,unknown,Real Estate,unknown,0,1,1,Correct
Urgent Need :Oracle Developer for Bahrain.,unknown,unknown,unknown,unknown,1,0,0,Correct
"Client Services Administrator - Lafayette, CA",Full-time,Entry level,Insurance,General Business,1,0,0,Correct
DevOps Engineer / Big Data Systems Administrator,Full-time,Mid-Senior level,Information Technology and Services,Engineering,1,0,0,Correct
Graphics designer,Full-time,Mid-Senior level,Information Technology and Services,Design,1,0,0,Correct
Branch Circulation Clerk,Part-time,Not Applicable,Libraries,Customer Service,0,0,0,Correct
Area Sales Manager - Bangalore,Full-time,Associate,Information Technology and Services,Sales,1,0,0,Correct
Customer Service Manager,Full-time,unknown,unknown,unknown,1,0,0,Correct
Retail Territory Merchandiser,unknown,unknown,unknown,unknown,0,0,0,Correct
Fisheries Biologist (Plankton Unit),Full-time,Entry level,Fishery,Science,1,0,0,Correct
Sales Rep for DirecTV - Management Training,Full-time,unknown,Consumer Services,Sales,1,0,0,Correct
Product/Sales Consultant ,Full-time,unknown,Electrical/Electronic Manufacturing,Consulting,1,0,0,Correct
Managing Editor,Full-time,Mid-Senior level,Publishing,Writing/Editing,1,0,0,Correct
Solution Architect,Full-time,Director,Information Technology and Services,Engineering,1,0,0,Correct
CC&B Consultant,Full-time,unknown,Information Technology and Services,unknown,1,0,0,Correct
Softcom-Int CVs Database,unknown,unknown,unknown,unknown,1,0,0,Correct
Field Tech Follow up,Full-time,Associate,Real Estate,Quality Assurance,0,0,0,Correct
User Acquisition Strategist,Full-time,Mid-Senior level,Information Technology and Services,Marketing,1,0,0,Correct
Mobile App Administrator,Full-time,Not Applicable,Marketing and Advertising,Accounting/Auditing,1,0,0,Correct
Digital Content Marketing Specialist,Full-time,unknown,Marketing and Advertising,unknown,1,0,0,Correct
Marketing Administrator,Full-time,Entry level,Internet,Marketing,1,0,0,Correct
NVQ Level 5 Manager,Part-time,unknown,Hospital & Health Care,unknown,0,0,0,Correct
WEB DEVELOPER,unknown,unknown,unknown,unknown,1,0,0,Correct
Senior Process Engineer - MS Office Prism DCS Provox - IL,Full-time,unknown,unknown,unknown,0,0,0,Correct
High School Science Teacher,Full-time,unknown,unknown,unknown,1,0,0,Correct
Demonstrator,unknown,unknown,unknown,unknown,1,0,0,Correct
Junior Project Manager,Full-time,Associate,Information Technology and Services,Production,1,0,0,Correct
Trades and Labour Construction Recruitment Consultant,unknown,unknown,unknown,unknown,1,0,0,Correct
Voyageur Medical Transportation Disptach/Call Taker ,Part-time,unknown,Transportation/Trucking/Railroad,unknown,1,0,0,Correct
Frontend Web App Developer / Designer,Full-time,Mid-Senior level,Computer Software,Engineering,1,0,0,Correct
Sales Associate,unknown,unknown,unknown,unknown,0,1,0,Wrong
Account Manager Business Solutions Germany,Full-time,Associate,Hospitality,Sales,1,0,0,Correct
Sr/Lead Software Engineer: Ruby on Rails ,Full-time,Mid-Senior level,Internet,Engineering,1,0,0,Correct
Principal Engineer / Architect,Full-time,Mid-Senior level,Computer Software,Engineering,1,0,0,Correct
Field Technician ,Full-time,Associate,Environmental Services,Other,0,0,0,Correct
Tourism Content Writer - Freelance,Contract,Not Applicable,Writing and Editing,Marketing,1,0,0,Correct
ACCOUNTANT,Full-time,unknown,Gambling & Casinos,Accounting/Auditing,0,0,0,Correct
Purchasing Agent,Full-time,unknown,Printing,Purchasing,0,0,0,Correct
English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
"Venue Relations Manager, Developing Markets Team",Full-time,Associate,Entertainment,unknown,1,0,0,Correct
"Construction Engineer, Architect, Civil, Mechanical, Piping",Full-time,Mid-Senior level,Oil & Energy,Engineering,1,0,0,Correct
"Onsite Host (Washington, DC)",Part-time,unknown,unknown,unknown,1,0,0,Correct
Health & Environmental Professional,Full-time,Mid-Senior level,Oil & Energy,Other,1,1,0,Wrong
IT System Engineer,unknown,unknown,unknown,unknown,1,0,0,Correct
Customer Service Technical Specialist ,Full-time,Entry level,Hospital & Health Care,Customer Service,1,0,0,Correct
Administrative Assistant/Office Assistant,Full-time,Entry level,Accounting,Administrative,0,1,0,Wrong
Care Worker (Personal Assistant) ,Full-time,Associate,Hospital & Health Care,unknown,1,0,0,Correct
Growth Hacker / Data Analyst Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Office Manager,Full-time,unknown,Internet,Administrative,1,0,0,Correct
Software Developer - Intermediate to Senior,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Technical Writer ,Full-time,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
Senior Network Administrator - Help Us Design Our Systems,Full-time,Mid-Senior level,Internet,Information Technology,0,0,0,Correct
Aberdeen Driving Goods Vehicle Apprenticeships Under NAS 18-24 Year Olds Only,Full-time,Not Applicable,Logistics and Supply Chain,unknown,1,0,0,Correct
System Analyst,unknown,unknown,unknown,unknown,0,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Customer Service Associate - Part Time ,Part-time,Entry level,Hospital & Health Care,Customer Service,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
International Bookkeeping Assistant,Full-time,Associate,Computer Software,Accounting/Auditing,1,0,0,Correct
Entry-Level Software Developer,Full-time,Entry level,Internet,Engineering,0,0,0,Correct
Design Intern,Temporary,unknown,unknown,unknown,1,0,0,Correct
Javascript Developer - Rippleshot,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Senior Data Analytics Engineer,Full-time,Mid-Senior level,Internet,unknown,1,0,0,Correct
"Country Manager, Colombia",unknown,unknown,unknown,unknown,1,0,0,Correct
UX/UI Designer,Full-time,Mid-Senior level,Design,Design,1,0,0,Correct
Content Ninja,Full-time,Entry level,Internet,Writing/Editing,1,0,0,Correct
Full-Time Weekend Caregiver for an Independent and Compassionate Woman ,Full-time,Entry level,Civic & Social Organization,Health Care Provider,1,0,0,Correct
Production Manager Heavy Duty Diesel  2022,Full-time,unknown,unknown,unknown,0,1,0,Wrong
Environmental Health and Safety Engineering Manager,Full-time,Mid-Senior level,Semiconductors,Engineering,1,0,0,Correct
"Senior Bank Mortgage Loan Originators for the Brookfield,WI area",unknown,unknown,unknown,unknown,1,0,0,Correct
Senior Sales Executive - Dallas/Houston,Full-time,Executive,Information Technology and Services,Sales,1,0,0,Correct
Full Stack Engineer,unknown,unknown,unknown,unknown,1,0,0,Correct
Front-end designer,Part-time,Mid-Senior level,E-Learning,Design,1,0,0,Correct
HOTEL REAL ESTATE INVESTMENT NEWS CURATOR,Other,Director,Publishing,Writing/Editing,1,0,0,Correct
iOS Developer,Full-time,Mid-Senior level,Financial Services,Engineering,1,0,0,Correct
Seeking Pet Lovers: Pet Sitting/Dog Walking,unknown,unknown,unknown,unknown,1,0,0,Correct
Junior Freelance Designer,Contract,Entry level,Internet,Marketing,1,0,0,Correct
Welder,Contract,Mid-Senior level,Construction,Other,0,0,0,Correct
Seamstress,Full-time,Entry level,Printing,Manufacturing,0,0,0,Correct
Summer Internship: Java  ,Temporary,unknown,Information Technology and Services,Information Technology,1,0,0,Correct
WF5 9TJ Business Admin Apprenticeship available under NAS 16-18 year olds only!,Full-time,Internship,unknown,Administrative,1,0,0,Correct
Home Equity Underwriter ,Full-time,Associate,Financial Services,Finance,1,0,0,Correct
Technical Sales Specialist,Full-time,Mid-Senior level,Internet,Information Technology,1,0,0,Correct
Outbound Sales Development Representative,Full-time,Associate,Wireless,Sales,0,0,0,Correct
Marketing / Sales Executives,Full-time,Not Applicable,Information Technology and Services,Marketing,1,0,0,Correct
PR AE/SAE,Full-time,Associate,Public Relations and Communications,Public Relations,1,0,0,Correct
Business Development Manager - Tangiblee (Techstars Company),Full-time,Mid-Senior level,Information Technology and Services,Business Development,1,0,0,Correct
HR Operations Assistant,Full-time,unknown,Information Technology and Services,Human Resources,1,0,0,Correct
Escrow Officer / Closer,Full-time,Mid-Senior level,Real Estate,unknown,1,0,0,Correct
Data Entry / Administrative Assitstant / Admin Clerk / Office Assistant / Customer Service Rep,Full-time,Entry level,Telecommunications,Administrative,0,1,1,Correct
Physical Therapist,Full-time,Mid-Senior level,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Chemical Operator,Full-time,Mid-Senior level,Chemicals,Production,1,0,0,Correct
"Producer, Zimbabwe",Full-time,Mid-Senior level,Broadcast Media,unknown,1,0,0,Correct
Customer Success Manager,Full-time,Associate,Computer Software,Customer Service,1,0,0,Correct
"Life Insurance Agent - Portland, OR",Full-time,Not Applicable,Insurance,Sales,1,0,0,Correct
Global Communications Manager,Full-time,Mid-Senior level,Internet,Marketing,1,0,0,Correct
Finance and Accounting Analyst,Full-time,unknown,Financial Services,unknown,1,0,0,Correct
Inside Sales Client Advisor,Full-time,Associate,Legal Services,Sales,1,0,0,Correct
Contract SilverStripe Developer,unknown,unknown,unknown,unknown,1,0,0,Correct
Manufacturing Process Supervisor,Full-time,unknown,unknown,unknown,0,0,0,Correct
ADF Developer,Contract,Associate,Information Technology and Services,Information Technology,1,0,0,Correct
Caregiver- Sawyer,Part-time,unknown,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Cluster Computing Apprentice,Full-time,Mid-Senior level,Computer Software,Engineering,1,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Banking,Customer Service,1,0,0,Correct
Mobile Application Developer (Android) ,unknown,unknown,Information Technology and Services,unknown,0,0,0,Correct
Research Associate,Full-time,Associate,Financial Services,Financial Analyst,1,0,0,Correct
General Application (US/Canada),unknown,unknown,unknown,unknown,1,0,0,Correct
Client Service Professional,unknown,unknown,Consumer Services,Customer Service,1,0,0,Correct
Freight Forwarding Sales,Full-time,Mid-Senior level,Logistics and Supply Chain,Sales,0,0,0,Correct
Entry Level Investment Advisor / Financial Planner,Full-time,Entry level,Financial Services,unknown,1,0,0,Correct
Optician,Full-time,unknown,"Health, Wellness and Fitness",Sales,0,1,1,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
Data Specialist,Full-time,Associate,Internet,Data Analyst,1,0,0,Correct
Integration Engineer,Full-time,Mid-Senior level,Telecommunications,Engineering,1,0,0,Correct
Supervisor in the airport cafe Erbil,Full-time,Not Applicable,Food & Beverages,Customer Service,1,0,0,Correct
Physical Therapist Outpatient,Full-time,Mid-Senior level,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Sales/Business Development,Full-time,Associate,Biotechnology,Sales,0,0,0,Correct
Lead Business Intelligence / Business Objects (BOBJ) ,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
General Application,unknown,unknown,unknown,unknown,1,0,0,Correct
Office Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
City Manager,Full-time,Mid-Senior level,Consumer Services,Management,1,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Apparel & Fashion,Customer Service,1,0,0,Correct
SAP Functional Solution Architect,Contract,Mid-Senior level,Information Technology and Services,unknown,0,0,0,Correct
Sr.SQL Server DBA ,Full-time,Mid-Senior level,Automotive,Information Technology,1,0,0,Correct
Director Surveillance & Investigation Epidemiology Resource Center,Full-time,Associate,Hospital & Health Care,unknown,0,0,0,Correct
SQL Database Analyst (Remote),Contract,Mid-Senior level,Professional Training & Coaching,Information Technology,1,0,0,Correct
Customer Service Reps,unknown,unknown,unknown,Customer Service,1,0,0,Correct
Digital Advertising Operations Manager,Full-time,Associate,Computer Games,Advertising,1,0,0,Correct
Job Fair ,unknown,unknown,unknown,unknown,1,0,0,Correct
QA and Test Engineer,Full-time,Associate,Information Technology and Services,Information Technology,1,0,0,Correct
Customer Service Manager (Consignor Relations),unknown,unknown,unknown,Customer Service,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
"Sunlife Financial - Director, Group Life Pricing (Wellesley, MA or Windsor, CT)",Full-time,unknown,unknown,unknown,1,0,0,Correct
Super Marketing Specialist,Full-time,unknown,Information Technology and Services,Marketing,0,0,0,Correct
Web Developer - Gatcha!,unknown,unknown,unknown,unknown,1,0,0,Correct
Inside Sales Representative (1+yr exp),Full-time,Associate,Consumer Goods,Sales,1,0,0,Correct
Desenvolvedor Web,unknown,unknown,unknown,unknown,1,0,0,Correct
"Home Health CNA--Groveland, ID",unknown,unknown,unknown,unknown,1,0,0,Correct
"Producer, Khmer Service ",unknown,unknown,unknown,unknown,1,0,0,Correct
Marketing Manager,Part-time,Internship,Computer Software,Marketing,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Dairy & Farming Consultant,unknown,unknown,unknown,unknown,0,0,0,Correct
Financial Clerk,unknown,unknown,unknown,unknown,1,0,0,Correct
Receptionist,Full-time,Entry level,Medical Practice,unknown,1,0,0,Correct
Customer Support Specialist,Full-time,Not Applicable,Computer Software,Customer Service,1,0,0,Correct
PathSource Marketing Associate,Full-time,Associate,E-Learning,Marketing,1,0,0,Correct
